lp,measurement
1,Output/Alarms_01/DWord
2,Output/Bubble_01/o_A_Total
3,Output/Bubble_01/o_kLa
4,Output/Bubble_01/o_r_Bubble_01
5,Output/Mieszanie_01/i_Speed_SP
6,Output/Mieszanie_01/o_Speed_Fbk
7,Output/Mieszanie_01/o_mix_Level
8,Output/Mieszanie_01/o_usedEnergy
9,Output/Pompa_01/i_Speed_SP
10,Output/Pompa_01/o_Flow_Fbk
11,Output/Pompa_01/o_Speed_Fbk
12,Output/Pompa_01/o_kodBledu
13,Output/Pompa_01/o_poziom
14,Output/Pompa_02/i_Speed_SP
15,Output/Pompa_02/o_Flow_Fbk
16,Output/Pompa_02/o_Speed_Fbk
17,Output/SoftSensorpH_01/i_acid_flowrate
18,Output/SoftSensorpH_01/i_base_flowrate
19,Output/SoftSensorpH_01/o_pH_mod
20,Output/TransportCiepla_01/i_T_PV
21,Output/TransportCiepla_01/i_T_SP
22,Output/TransportCiepla_01/i_To
23,Output/TransportCiepla_01/o_T_mod
24,Output/TransportCiepla_01/o_Tj_mod
25,Output/TransportCiepla_01/o_k_est
26,Output/TransportCiepla_01/o_k_loss_est
27,Output/TransportO2_01/i_Qset
28,Output/TransportO2_01/i_compress_P
29,Output/TransportO2_01/i_frac_CO2
30,Output/TransportO2_01/i_frac_O2
31,Output/TransportO2_01/o_CO2_mod
32,Output/TransportO2_01/o_DO_mod
33,Output/TransportO2_01/o_DO_mod_CO2
34,Output/TransportO2_01/o_Flow_mod
35,Output/Zbiornik_01/i_elemDepth
36,Output/Zbiornik_01/i_elemDiameters
37,Output/Zbiornik_01/i_medVolume
38,Output/Zbiornik_01/o_medAir
39,Output/Zbiornik_01/o_medCoolant
40,Output/Zbiornik_01/o_medLevel
