Output/Alarms_01/DWord;-;Brak bezpo?redniego modelu w Level 3 (sygna? diagnostyczny).
Output/Bubble_01/o_A_Total;bubblegenerator/out_bubgen_a_total_m2;Ca?kowita powierzchnia p?cherzyków gazu.
Output/Bubble_01/o_kLa;bubblegenerator/out_bubgen_kla_1s;Wspó?czynnik przenikania tlenu (kLa).
Output/Bubble_01/o_r_Bubble_01;bubblegenerator/out_bubgen_r_bubble_m;Promie? p?cherzyka gazu.
Output/Mieszanie_01/i_Speed_SP;mixer/out_mixer_rpm_setpoint;Warto?? zadana pr?dko?ci obrotowej mieszad?a.
Output/Mieszanie_01/o_Speed_Fbk;mixer/out_mixer_model_angular_velocity_rads;Pr?dko?? k?towa (rad/s) wyliczona na podstawie obrotów (RPM).
Output/Mieszanie_01/o_mix_Level;mixer/out_mixer_mixing_level;Stopie? wymieszania cieczy w zbiorniku.
Output/Mieszanie_01/o_usedEnergy;mixer/out_mixer_energy_consumption_w;Moc pobierana przez silnik mieszad?a.
Output/Pompa_01/i_Speed_SP;peristalticpump/out_peristalticpump_speed_rpm;Warto?? zadana pr?dko?ci pompy 1.
Output/Pompa_01/o_Flow_Fbk;peristalticpump/out_peristalticpump_speed_rpm;Pr?dko?? pompy 1 wyliczona z przep?ywu.
Output/Pompa_01/o_Speed_Fbk;peristalticpump/out_peristalticpump_speed_rpm;Sprz??enie zwrotne pr?dko?ci pompy 1.
Output/Pompa_01/o_kodBledu;-;Kod b??du pompy (brak modelu w L3).
Output/Pompa_01/o_poziom;-;Sygna? pomocniczy poziomu (brak w L3).
Output/Pompa_02/i_Speed_SP;peristalticpump/out_peristalticpump_speed_rpm;Warto?? zadana pr?dko?ci pompy 2.
Output/Pompa_02/o_Flow_Fbk;peristalticpump/out_peristalticpump_speed_rpm;Przep?yw pompy 2 mapowany na pr?dko?? RPM w modelu.
Output/Pompa_02/o_Speed_Fbk;peristalticpump/out_peristalticpump_speed_rpm;Sprz??enie zwrotne pr?dko?ci pompy 2.
Output/SoftSensorpH_01/i_acid_flowrate;-;Wej?cie dawkowania kwasu (brak bezpo?redniego wyj?cia modelu w L3).
Output/SoftSensorpH_01/i_base_flowrate;-;Wej?cie dawkowania zasady (brak bezpo?redniego wyj?cia modelu w L3).
