lp,measurement
1,devices/0d2fa025-787e-406b-baf3-08e502346a8a/assigned_to_batch
2,devices/0d2fa025-787e-406b-baf3-08e502346a8a/assigned_to_pnid
3,devices/0d2fa025-787e-406b-baf3-08e502346a8a/assigned_to_process
4,devices/0d2fa025-787e-406b-baf3-08e502346a8a/assigned_to_system
5,devices/0d2fa025-787e-406b-baf3-08e502346a8a/diagnostics/CoreBoard/Text/Actual
6,devices/0d2fa025-787e-406b-baf3-08e502346a8a/metadata
7,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/OSLevel/Actual
8,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/TagDescription/Actual
9,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/TagName/Actual
10,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VFbk/Actual
11,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VMan/Actual
12,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VOut/Actual
13,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VRbk/Actual
14,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VState0/Actual
15,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VState1/Actual
16,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/OSLevel/Actual
17,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/TagDescription/Actual
18,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/TagName/Actual
19,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VFbk/Actual
20,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VMan/Actual
21,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VOut/Actual
22,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VRbk/Actual
23,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VState0/Actual
24,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VState1/Actual
25,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/OSLevel/Actual
26,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/TagDescription/Actual
27,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/TagName/Actual
28,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/V/Actual
29,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VAHAct/Actual
30,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VAHEn/Actual
31,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VAHLim/Actual
32,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VALAct/Actual
33,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VALEn/Actual
34,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VALLim/Actual
35,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VSclMax/Actual
36,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VSclMin/Actual
37,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTHAct/Actual
38,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTHEn/Actual
39,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTHLim/Actual
40,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTLAct/Actual
41,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTLEn/Actual
42,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VTLLim/Actual
43,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VUnit/Actual
44,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWHAct/Actual
45,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWHEn/Actual
46,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWHLim/Actual
47,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWLAct/Actual
48,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWLEn/Actual
49,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/VWLLim/Actual
50,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/WQC/Actual
51,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/metadata/TagDescription/Actual
52,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/metadata/TagName/Actual
53,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/metadata/Text/Actual
54,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/metadata/WQC/Actual
55,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/serialNumber/TagDescription/Actual
56,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/serialNumber/TagName/Actual
57,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/serialNumber/Text/Actual
58,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/serialNumber/WQC/Actual
59,devices/0d2fa025-787e-406b-baf3-08e502346a8a/status/connection_status
60,devices/0d2fa025-787e-406b-baf3-08e502346a8a/status/uptime
61,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/assigned_to_batch
62,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/assigned_to_pnid
63,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/assigned_to_process
64,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/assigned_to_system
65,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/diagnostics/CoreBoard/Text/Actual
66,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/metadata
67,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/TagDescription/Actual
68,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/TagName/Actual
69,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/V/Actual
70,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/VSclMax/Actual
71,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/VSclMin/Actual
72,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/VUnit/Actual
73,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/WQC/Actual
74,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/TagDescription/Actual
75,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/TagName/Actual
76,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/V/Actual
77,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/VSclMax/Actual
78,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/VSclMin/Actual
79,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/VUnit/Actual
80,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/WQC/Actual
81,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/metadata/TagDescription/Actual
82,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/metadata/TagName/Actual
83,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/metadata/Text/Actual
84,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/metadata/WQC/Actual
85,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/OSLevel/Actual
86,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcChannel/Actual
87,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcIntAct/Actual
88,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcIntAut/Actual
89,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcIntOp/Actual
90,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcManAct/Actual
91,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcManAut/Actual
92,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/SrcManOp/Actual
93,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/TagDescription/Actual
94,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/TagName/Actual
95,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VFbk/Actual
96,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VInt/Actual
97,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VMan/Actual
98,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VMan/Setpoint
99,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VOut/Actual
100,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VRbk/Actual
101,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VState0/Actual
102,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VState1/Actual
103,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/WQC/Actual
104,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/status/TagDescription/Actual
105,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/status/TagName/Actual
106,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/status/Text/Actual
107,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/status/WQC/Actual
108,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/OSLevel/Actual
109,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcChannel/Actual
110,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcIntAct/Actual
111,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcIntAut/Actual
112,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcIntOp/Actual
113,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcManAct/Actual
114,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcManAut/Actual
115,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/SrcManOp/Actual
116,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/TagDescription/Actual
117,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/TagName/Actual
118,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VFbk/Actual
119,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VInt/Actual
120,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VMan/Actual
121,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VMan/Setpoint
122,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VMax/Actual
123,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VMin/Actual
124,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VOut/Actual
125,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VRbk/Actual
126,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VSclMax/Actual
127,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VSclMin/Actual
128,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VUnit/Actual
129,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/WQC/Actual
130,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/status/connection_status
131,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/status/uptime
132,devices/23c5c821-2349-470f-8050-e9c028495916/assigned_to_batch
133,devices/23c5c821-2349-470f-8050-e9c028495916/assigned_to_pnid
134,devices/23c5c821-2349-470f-8050-e9c028495916/assigned_to_process
135,devices/23c5c821-2349-470f-8050-e9c028495916/assigned_to_system
136,devices/23c5c821-2349-470f-8050-e9c028495916/diagnostics/CoreBoard/Text/Actual
137,devices/23c5c821-2349-470f-8050-e9c028495916/metadata
