path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn,VFbk,PV,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VFbk/Actual,VAHEn,PT100 Alarm High,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn,VMan,Manual,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VMan/Actual,VAHEn,PT100 Alarm High,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn,VOut,SP,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VOut/Actual,VAHEn,PT100 Alarm High,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn,VFbk,PV,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VFbk/Actual,VALEn,PT100 Alarm Low,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn,VMan,Manual,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VMan/Actual,VALEn,PT100 Alarm Low,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn,VOut,SP,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VOut/Actual,VALEn,PT100 Alarm Low,,,,temperature_value,,TAK,0.0,0.0
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe,V,Value,devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/V/Actual,measurementFirstProbe,PT100,Output/TransportCiepla_01/i_T_PV,heatmodel/out_heatmodel_t_1001,temperature,temperature_process,Temperatura procesu (wn?trze zbiornika).,NIE,1.0,1.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode,V,Value,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/V/Actual,faultCode,Chiller Fault Code,,,,,,TAK,0.0,0.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow,V,Value,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/flow/V/Actual,flow,Chiller Flow,Output/Zbiornik_01/o_medLevel,tankgeometry/out_tankgeometry_mediumlevel_1010,,level_value,Poziom cieczy w zbiorniku.,NIE,1.0,1.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle,VFbk,PV,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VFbk/Actual,powerToggle,Chiller ON/OFF,,,,,,TAK,0.0,0.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle,VMan,SP,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VMan/Setpoint,powerToggle,Chiller ON/OFF,,,,,,TAK,0.0,0.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle,VOut,SP,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/powerToggle/VOut/Actual,powerToggle,Chiller ON/OFF,,,,,,TAK,0.0,0.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature,VFbk,PV,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VFbk/Actual,temperature,Chiller temperature,Output/TransportCiepla_01/i_T_SP,tcumodel/out_tcumodel_tinternal_1001,temperature,temperature_setpoint,Warto?? zadana temperatury (Set Point).,NIE,1.0,1.0
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature,VMan,SP,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VMan/Setpoint,temperature,Chiller temperature,Output/TransportCiepla_01/i_T_SP,tcumodel/out_tcumodel_tinternal_1001,temperature,temperature_setpoint,Warto?? zadana temperatury (Set Point).,NIE,1.0,1.0
