level2_tag,level3_tag,description
Output/Bubble_01/o_A_Total,bubblegenerator/out_bubgen_a_total_m2,"Całkowita powierzchnia pęcherzyków gazu"
Output/Bubble_01/o_kLa,bubblegenerator/out_bubgen_kla_1s,"Współczynnik przenikania tlenu (kLa)"
Output/Bubble_01/o_r_Bubble_01,bubblegenerator/out_bubgen_r_bubble_m,"Promień pęcherzyka gazu"
Output/Mieszanie_01/i_Speed_SP,mixer/out_mixer_rpm_setpoint,"Wartość zadana prędkości obrotowej mieszadła"
Output/Mieszanie_01/o_Speed_Fbk,mixer/out_mixer_model_angular_velocity_rads,"Prędkość kątowa (rad/s) wyliczona na podstawie obrotów (RPM)"
Output/Mieszanie_01/o_mix_Level,mixer/out_mixer_mixing_level,"Stopień wymieszania cieczy w zbiorniku"
Output/Mieszanie_01/o_usedEnergy,mixer/out_mixer_energy_consumption_w,"Moc pobierana przez silnik mieszadła"
Output/Pompa_01/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm,"Wartość zadana prędkości pompy 1"
Output/Pompa_01/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm,"Prędkość pompy 1 wyliczona z przepływu"
Output/Pompa_01/o_Speed_Fbk,peristalticpump/out_peristalticpump_speed_rpm,"Sprzężenie zwrotne prędkości pompy 1"
Output/Pompa_02/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm,"Wartość zadana prędkości pompy 2"
Output/Pompa_02/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm,"Przepływ pompy 2 mapowany na prędkość RPM w modelu"
Output/Pompa_02/o_Speed_Fbk,peristalticpump/out_peristalticpump_speed_rpm,"Sprzężenie zwrotne prędkości pompy 2"
Output/SoftSensorpH_01/o_pH_mod,softsensorph/out_softsensorph_ph_est,"Główna estymacja pH w nowym silniku"
Output/TransportCiepla_01/i_T_PV,heatmodel/out_heatmodel_t_1001,"Temperatura procesu (wnętrze zbiornika)"
Output/TransportCiepla_01/i_T_SP,tcumodel/out_tcumodel_tinternal_1001,"Wartość zadana temperatury (Set Point)"
Output/TransportCiepla_01/i_To,heatmodel/out_heatmodel_tj_1001,"Temperatura płaszcza (Jacket)"
Output/TransportCiepla_01/o_T_mod,heatmodelregressor/out_heatmodelregressor_y_1001,"Wynik regresyjny temperatury (skorygowany)"
Output/TransportCiepla_01/o_Tj_mod,tcumodel/out_tcumodel_tjacket_1001,"Modelowa temperatura płaszcza chłodzącego"
Output/TransportCiepla_01/o_k_est,heatmodelregressor/out_heatmodelregressor_k_1200,"Estymowany współczynnik przenikania ciepła k"
Output/TransportCiepla_01/o_k_loss_est,heatmodelregressor/out_heatmodelregressor_kloss_1082,"Estymowane straty ciepła do otoczenia"
Output/TransportO2_01/i_Qset,oxygentransport/out_oxygentransport_qset_dls,"Wartość zadana przepływu gazu"
Output/TransportO2_01/i_frac_CO2,oxygentransport/out_oxygentransport_co2pct_pct,"Ułamek procentowy CO2 w gazie"
Output/TransportO2_01/i_frac_O2,oxygentransport/out_oxygentransport_dopct_pct,"Ułamek procentowy O2 w gazie"
Output/TransportO2_01/o_CO2_mod,oxygentransport/out_oxygentransport_co2_mgl,"Model stężenia CO2 (mg/L)"
Output/TransportO2_01/o_DO_mod,oxygentransport/out_oxygentransport_do_mgl,"Model tlenu rozpuszczonego (mg/L)"
Output/TransportO2_01/o_DO_mod_CO2,oxygentransport/out_oxygentransport_ph_dls,"Wpływ gazów na pH (model transportu)"
Output/TransportO2_01/o_Flow_mod,oxygentransport/out_oxygentransport_qmodel_m3s,"Modelowany przepływ gazu w bioreaktorze"
Output/Zbiornik_01/o_medAir,tankgeometry/out_tankgeometry_airsurfacearea_1023,"Powierzchnia kontaktu cieczy z powietrzem"
Output/Zbiornik_01/o_medCoolant,tankgeometry/out_tankgeometry_coolantsurfacearea_1023,"Powierzchnia kontaktu z chłodziwem"
Output/Zbiornik_01/o_medLevel,tankgeometry/out_tankgeometry_mediumlevel_1010,"Poziom cieczy w zbiorniku"
