influx_path,level2_name,level3_name
,Output/Bubble_01/o_A_Total,bubblegenerator/out_bubgen_a_total_m2
,Output/Bubble_01/o_kLa,bubblegenerator/out_bubgen_kla_1s
,Output/Bubble_01/o_r_Bubble_01,bubblegenerator/out_bubgen_r_bubble_m
,Output/Mieszanie_01/i_Speed_SP,mixer/out_mixer_rpm_setpoint
,Output/Mieszanie_01/o_Speed_Fbk,mixer/out_mixer_model_angular_velocity_rads
,Output/Mieszanie_01/o_mix_Level,mixer/out_mixer_mixing_level
,Output/Mieszanie_01/o_usedEnergy,mixer/out_mixer_energy_consumption_w
,Output/Pompa_01/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm
,Output/Pompa_01/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm
,Output/Pompa_01/o_Speed_Fbk,peristalticpump/out_peristalticpump_speed_rpm
,Output/Pompa_02/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm
,Output/Pompa_02/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm
,Output/Pompa_02/o_Speed_Fbk,peristalticpump/out_peristalticpump_speed_rpm
,Output/SoftSensorpH_01/o_pH_mod,softsensorph/out_softsensorph_ph_est
,Output/TransportCiepla_01/i_T_PV,heatmodel/out_heatmodel_t_1001
,Output/TransportCiepla_01/i_T_SP,tcumodel/out_tcumodel_tinternal_1001
,Output/TransportCiepla_01/i_To,heatmodel/out_heatmodel_tj_1001
,Output/TransportCiepla_01/o_T_mod,heatmodelregressor/out_heatmodelregressor_y_1001
,Output/TransportCiepla_01/o_Tj_mod,tcumodel/out_tcumodel_tjacket_1001
,Output/TransportCiepla_01/o_k_est,heatmodelregressor/out_heatmodelregressor_k_1200
,Output/TransportCiepla_01/o_k_loss_est,heatmodelregressor/out_heatmodelregressor_kloss_1082
,Output/TransportO2_01/i_Qset,oxygentransport/out_oxygentransport_qset_dls
,Output/TransportO2_01/i_frac_CO2,oxygentransport/out_oxygentransport_co2pct_pct
,Output/TransportO2_01/i_frac_O2,oxygentransport/out_oxygentransport_dopct_pct
,Output/TransportO2_01/o_CO2_mod,oxygentransport/out_oxygentransport_co2_mgl
,Output/TransportO2_01/o_DO_mod,oxygentransport/out_oxygentransport_do_mgl
,Output/TransportO2_01/o_DO_mod_CO2,oxygentransport/out_oxygentransport_ph_dls
,Output/TransportO2_01/o_Flow_mod,oxygentransport/out_oxygentransport_qmodel_m3s
,Output/Zbiornik_01/o_medAir,tankgeometry/out_tankgeometry_airsurfacearea_1023
,Output/Zbiornik_01/o_medCoolant,tankgeometry/out_tankgeometry_coolantsurfacearea_1023
,Output/Zbiornik_01/o_medLevel,tankgeometry/out_tankgeometry_mediumlevel_1010
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VFbk/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VMan/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VAHEn/VOut/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VFbk/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VMan/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/VALEn/VOut/Actual,,
devices/0d2fa025-787e-406b-baf3-08e502346a8a/mtp/objects/Sensor5/measurementFirstProbe/V/Actual,Output/TransportCiepla_01/i_T_PV,heatmodel/out_heatmodel_t_1001
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/faultCode/V/Actual,,
