device_uuid,pnid_asset_id,functional_name_pl,functional_name_en,asset_type,location_on_sheet,link_to_drawing
0d2fa025-787e-406b-baf3-08e502346a8a,,Sensor 5 (Temperatura procesu),Sensor 5 (Process temperature),Sensor,,
185f554f-b1db-4a60-a733-fe05d4f2a428,,CoolingStyle (System chłodzenia i poziom),CoolingStyle (Cooling and level system),Cooling,,
23c5c821-2349-470f-8050-e9c028495916,,Sensor 2 (Tlen rozpuszczony - DO),Sensor 2 (Dissolved oxygen - DO),Sensor,,
2757a0c4-af81-4273-87fb-2b0d87c5da34,,Sensor 1 (pH),Sensor 1 (pH),Sensor,,
289ca36e-495e-445a-ae52-203a431051f5,,Sparger 2 (Napowietrzanie),Sparger 2 (Aeration),Sparger,,
616ad07e-52e7-4293-aba1-2848073e1c33,,Pompa 01,Pump 01,Pump,,
ae8f16e0-b975-43df-9fd7-cba7530be7c9,,Pompa 02,Pump 02,Pump,,
b1a6d61d-c7a3-4cff-a509-74823026733c,,Sensor 5 (drugi obiekt MTP),Sensor 5 (second MTP object),Sensor,,
c6444729-56d5-4510-a365-f7dabcb2069c,,Sensor 6,Sensor 6,Sensor,,
d119c456-717a-4aa2-af0a-1d6d41f69d69,,Sensor 4,Sensor 4,Sensor,,
d2304eda-30b4-41bc-a866-b39bdf7f4b90,,Agitator (Mieszadło),Agitator (Mixer),Mixer,,
d57496a7-d1fb-4ece-ba31-dcfeda8753bc,,Sensor 2 (drugi obiekt MTP),Sensor 2 (second MTP object),Sensor,,
e43ea21d-3c09-4a55-abad-d0ae3fa74e5a,,Sensor 3 (Temperatura płaszcza),Sensor 3 (Jacket temperature),Sensor,,
f67a5705-092b-48a0-a6ee-e538aadf5c55,,Sparger 1 (Napowietrzanie),Sparger 1 (Aeration),Sparger,,
